1. Recounting Reconstruction (pull screen),,,,,,,,,,,
Lead Text,Spanish Translation ,Body Text (character max 470),Spanish Translation ,Status,,Notes,,,,,
Emancipation brought opportunity but it did not equal equality.,"La emancipación trajo oportunidades, pero no significó igualdad.","On June 19, 1865, Union General Gordon Granger arrived in Galveston to announce that over 250,000 enslaved people in Texas were free. After the Civil War ended, the state entered a period of Reconstruction. This era radically reshaped government and redefined formerly enslaved people's rights as citizens. Black Texans forged new paths forward while confronting racist policymaking. ","El 19 de junio de 1865, el general de la Unión Gordon Granger llegó a Galveston para anunciar que más de 250,000 personas esclavizadas en Texas eran libres. Después del fin de la Guerra Civil, el estado entró en un período de Reconstrucción. Esta era transformó radicalmente el gobierno y redefinió los derechos de las personas anteriormente esclavizadas como ciudadanos. Los tejanos negros forjaron nuevos caminos hacia el futuro al tiempo que se enfrentaban a políticas racistas.",Complete,,,,,,,
2. Title (intro screen),,,,,,,,,,,
Lead Text (character max 110),Spanish Translation ,Body Text (character max 445),Spanish Translation ,Status,,Notes,,,,,
With freedom came the opportunity for Black Texans to choose their paths in life.,Con la libertad vino la oportunidad para que los texanos negros eligieran su camino en la vida.,"Many Black Texans continued working in agriculture, purchasing or leasing land. Others pursued a formal education or ran for public office. Faced with hostility and violence from white Texans, Black Texans created spaces for community connection and free expression. Select a topic to learn about a person who pursued that path and how their rights shifted throughout Reconstruction.","Muchos tejanos negros continuaron trabajando en la agricultura, comprando o arrendando tierras. Otros siguieron una educación formal o se postularon para un cargo público. Ante la creciente hostilidad y violencia de los texanos blancos, los texanos negros crearon espacios para la conexión comunitaria y la libre expresión. Selecciona un tema para conocer a una persona que siguió ese camino y cómo cambiaron sus derechos durante la Reconstrucción.",Complete,,,,,,,
3. Ransom and Sarah Williams (Agriculture),,,,,,,,,,,
Body Text (character max 495),Spanish Translation ,Illustration link,,Status,,Notes,,,,,
"Before Emancipation, Ransom Williams (ca. 1846–1901) was enslaved by the Bunton family in Mountain City, Texas. By 1871, he had purchased 45 acres of land near Bear Creek in Travis County. Four years later, he married Sarah Houston. Together, they ran a successful farm that produced food to sustain their family and cotton to sell for profit. The Williams earned enough to start a horse raising business, buy fine goods, and invest in their children's education.","Antes de la emancipación, Ransom Williams (ca. 1846–1901) fue esclavizado por la familia Bunton en Mountain City, Texas. Para 1871, compró 45 acres de tierra cerca de Bear Creek, en el condado de Travis. Cuatro años después, se casó con Sarah Houston. Juntos, manejaron una granja exitosa que producía alimentos para sustentar a su familia y algodón para vender con fines de lucro. Los Williams ganaron lo suficiente para iniciar un negocio de crianza de caballos, comprar productos de lujo e invertir en la educación de sus hijos.",Link to illustration resources and reference images,,Complete,,,,,,,
3-a. Ransom and Sarah Williams (artifact),,,,,,,,,,,
Lead text / artifact title,Spanish Translation ,Artifact image caption (character max 160),Spanish Translation ,Artifact image tombstone,Spanish Translation ,Artifact image link (link to high res image in image folder),,Status,Notes,,
Brand from Ransom's farm,Marca del rancho de Ransom,"Williams registered his horse brand, “RA,” in Travis County in April 1872. This fragment found on the Williams Farmstead matches the brand he filed with the county.","Ransom registró su marca de ganado, “RA”, en el condado de Travis en abril de 1872. Este fragmento encontrado en la granja de los Williams coincide con la marca registrada en el condado.","Brand from Ransom's farm // Courtesy Texas Archaeological Research Laboratory, The University of Texas at Austin","Marca del rancho de Ransom // Cortesía del Laboratorio de Investigación Arqueológica de Texas, Universidad de Texas en Austin",Williams Artifact Image Link,,Complete, eli.yung@thestoryoftexas.com  I realized that the body text on this section was not filled out but what you had written for the caption is great body text! We do need a caption for the artifact though!,"
mac@museworkexhibits.comApologies, I misunderstood the comment about potentially not needing both the caption and the body text! Just to clarify, what content do you need for the caption? Is it interpretive like the body text or descriptive like materials used to make the artifact?  eli.yung@thestoryoftexas.com Actually, I am just going to get rid of the body text for these artifacts and just have captions. What you have here for Williams will work just fine as the caption.","mac@museworkexhibits.com Also, what resolution do you need for the images?"
3-b. Ransom and Sarah Williams (New opportunities),,,,,,,,,,,
Lead Text (character max 190),Spanish Translation ,Body Text (character max 455),Spanish Translation ,New Opportunities image link,New Opportunities image caption (character max 160),Spanish Translation ,New Opportunities image tombstone ,Spanish Translation ,Status,Notes,
"By growing crops and raising horses on their own land, the Williams family created a self-sufficient farm where they could thrive. ","Al cultivar productos y criar caballos en su propia tierra, los Williams crearon una granja autosuficiente donde su familia pudo prosperar.","Some white landowners exploited the labor of Black Texans to limit their financial freedom. Apprenticeship and tenant farming laws allowed landowners to create contracts that tied workers to the land. By owning his property, Ransom kept all the profits of his work. Financial success allowed Ransom and Sarah to better their family's quality of life and education.","Los terratenientes explotaban la mano de obra de los texanos negros para limitar su libertad financiera. Las leyes de aprendizaje y arrendamiento agrícola permitían a los terratenientes atrapar a los trabajadores en contratos abusivos que los ataban a la tierra. Al ser propietario de su terreno, Ransom conservaba todas las ganancias de su trabajo. El éxito financiero permitió a Ransom y Sarah mejorar la calidad de vida y la educación de su familia.",Williams Opportunities Image Link,"This photograph of a family on their farm shows what life may have looked like for the Williams. The Williams property contained a family home, an outbuilding, a livestock pond, pastures, cultivated fields, and corrals.","Esta fotografía de una familia en su granja muestra cómo pudo haber sido la vida para los Williams. La propiedad de los Williams incluía una casa familiar, una edificación auxiliar, un estanque para el ganado, pastizales, campos cultivados y corrales.","Family and ox cart in front of house, ca. 1888
Courtesy The Cook Collection, The Valentine","Familia y carreta de bueyes frente a la casa, ca. 1888
Cortesía de The Cook Collection, The Valentine
",Complete,,
3-c. Ransom and Sarah Williams (Challenges and dangers),,,,,,,,,,,
Lead Text (character max 190),Spanish Translation ,Body Text (character max 455),Spanish Translation ,Challenges and dangers image link,Challenges and dangers image caption (character max 160),Spanish Translation ,Challenges and dangers image tombstone ,Spanish Translation ,Status,Notes,
Racial violence was rampant in rural parts of Texas. Many Black families sought safety and opportunity among each other in urban centers.,La violencia racial era rampante en las zonas rurales de Texas. Muchas familias negras buscaban seguridad y oportunidades entre ellas en los centros urbanos.,"After Ransom died, Sarah and her children remained on the farm four more years. But life in rural Texas offered limited job options and a higher risk of exposure to racial violence. Legislators actively worked to remove protections for Black Texans. The Williams family ultimately moved to a freedom colony in East Austin.","Después de la muerte de Ransom, Sarah y sus hijos permanecieron en la granja durante cuatro años más. Pero la vida en el Texas rural ofrecía pocas opciones de empleo y un mayor riesgo de exposición a la violencia racial. Los legisladores trabajaban activamente para eliminar las protecciones para los texanos negros. Finalmente, la familia Williams se mudó a una colonia de libertad en el este de Austin.",Williams Challenges Image Link,"Many Black Texans moved to Austin to pursue better opportunities after Emancipation. By the early 1900s, Sixth Street (pictured here) was home to several Black-owned businesses. ","Muchos texanos negros se mudaron an Austin en busca de mejores oportunidades tras la Emancipación. A principios de 1900, la Calle Sexta (que aparece en la imagen) albergaba varios negocios propiedad de personas negras.","Downtown Austin, 1920 // Courtesy Austin History Center, Austin Public Library","Centro de Austin, 1920
Cortesía del Cento de Historia de Austin, Biblioteca Pública de Austin
",Complete,,
4. Nace Duval (Community Leadership),,,,,,,,,,,
Body Text (character max 495),Spanish Translation ,Illustration link,Status,Notes,,,,,,,
"Nace Duval was a preacher, community leader, and businessman in San Antonio. In 1866, Duval organized the first Black Methodist congregations in Bexar County. The St. James and St. Paul churches were gathering places that met community needs. Within these spaces, Duval established a school and employment agency. Available to church members, the services helped advance education and job prospects. Duval also owned a barbershop on Soledad Street that served clients of any race. ","Nace Duval fue predicador, líder comunitario y empresario en San Antonio. En 1866, Duval organizó las primeras congregaciones metodistas negras en el condado de Bexar. Las iglesias St. James y St. Paul eran lugares de reunión que respondían a las necesidades de la comunidad. Dentro de estos espacios, Duval estableció una escuela y una agencia de empleo. Estos servicios, abiertos a los miembros de la iglesia, ayudaban a mejorar la educación y las perspectivas laborales. Duval también era dueño de una barbería en la calle Soledad que atendía a clientes de cualquier raza.",Link to illustration resources and reference images,Complete,,,,,,,,
4-a. Nace Duval (artifact),,,,,,,,,,,
Lead text / artifact title,Spanish Translation ,Artifact image caption (character max 160),Spanish Translation ,Artifact image tombstone,Spanish Translation ,Artifact image link,Status,Notes,,,
"Soledad Street, San Antonio, Texas, ca. 1870
","Calle Soledad, San Antonio, Texas, ca. 1870","This photograph looks out on Soledad Street near Main Plaza, the area where Duval ran his barbershop. ","Esta fotografía muestra la calle Soledad cerca de la Plaza Principal, el área donde Duval operaba su barbería.","Soledad Street, San Antonio, Texas, ca. 1870 //
Courtesy General Photograph Collection, UTSA Special Collections, San Antonio","Calle Soledad, San Antonio, Texas, ca. 1870 // Cortesía de Colecciones Especiales de UTSA, San Antonio",Duval Artifact Link,Complete,,,,
4-b. Nace Duval (New opportunities),,,,,,,,,,,
Lead Text (character max 190),Spanish Translation ,Body Text (character max 455),Spanish Translation ,New Opportunities image link,New Opportunities image caption (character max 160),Spanish Translation ,New Opportunities image tombstone ,Spanish Translation ,Status,Notes,
"Nace Duval created public spaces to express faith, exercise creativity, and build community.","Nace Duval creó espacios públicos para expresar la fe, ejercer la creatividad y construir comunidad. ","Black Texans had to navigate segregated spaces and find fair job opportunities. They came together safely at churches established by and for Black communities. As a preacher and respected community leader, Duval helped others find support, education, and jobs.","Los texanos negros debían navegar espacios segregados y encontrar oportunidades laborales justas. Se reunían en iglesias fundadas por y para las comunidades negras. Como predicador y respetado líder comunitario, Duval ayudó a otros a encontrar apoyo, educación y empleo.",Duval Opportunities Image Link,Freedpeople founded churches of different denominations to meet community needs. Mt. Zion (above) was San Antonio's first Baptist church founded in 1871.,"Las personas liberadas fundaron iglesias de distintas denominaciones para responder a las necesidades de la comunidad. Mt. Zion (arriba) fue la primera iglesia bautista de San Antonio, fundada en 1871.","Mount Zion Baptist Church, San Antonio, Texas
Courtesy General Photograph Collection, UTSA Special Collections, San Antonio","Iglesia Bautista Mount Zion, San Antonio, Texas
Cortesía de Colecciones Especiales de UTSA, San Antonio
",Complete,,
